temperature,cycle,strain,id,infected,disseminated,lifespan,bloodmeals,bloodmeals_offered
10,False,WN02,1,True,False,16,0,2
10,False,WN02,2,False,False,23,0,3
10,False,WN02,3,True,True,13,0,2
10,False,WN02,4,False,False,19,0,2
10,False,WN02,5,True,False,5,0,0
10,False,WN02,6,False,False,12,0,1
10,False,WN02,7,False,False,19,0,2
10,False,WN02,8,False,False,12,0,1
10,False,WN02,9,True,False,21,0,3
10,False,WN02,10,False,False,19,0,2
10,False,WN02,11,False,False,20,0,3
10,False,WN02,12,True,True,42,0,6
10,False,WN02,13,False,False,18,0,2
10,False,WN02,14,True,True,17,0,2
10,False,WN02,15,False,False,14,0,2
10,False,WN02,16,False,False,11,0,1
10,False,WN02,17,True,True,15,0,2
10,False,WN02,18,False,False,17,0,2
10,False,WN02,19,False,False,13,0,2
10,False,WN02,20,False,False,20,0,3
10,False,WN02,21,False,False,14,0,2
10,False,WN02,22,False,False,25,0,3
10,False,WN02,23,False,False,22,0,3
10,False,WN02,24,False,False,25,0,3
10,False,WN02,25,False,False,23,0,3
10,False,WN02,26,False,False,17,0,2
10,False,WN02,27,False,False,11,0,1
10,False,WN02,28,True,True,15,0,2
10,False,WN02,29,True,True,18,0,2
10,False,WN02,30,False,False,33,0,4
10,False,WN02,31,False,False,22,0,3
10,False,WN02,32,False,False,16,0,2
10,False,WN02,33,True,True,4,0,0
10,False,WN02,34,True,True,16,0,2
10,False,WN02,35,True,True,11,0,1
10,False,WN02,36,True,True,13,0,2
10,False,WN02,37,False,False,11,0,1
10,False,WN02,38,False,False,16,0,2
10,False,WN02,39,True,False,7,0,1
10,False,WN02,40,False,False,33,0,4
10,False,WN02,41,False,False,20,0,3
10,False,WN02,42,True,True,23,0,3
10,False,WN02,43,False,False,16,0,2
10,False,WN02,44,True,False,2,0,0
10,False,WN02,45,True,False,2,0,0
10,False,WN02,46,True,True,4,0,0
10,False,WN02,47,False,False,16,0,2
10,False,WN02,48,False,False,21,0,3
10,False,WN02,49,False,False,10,0,1
10,False,WN02,50,False,False,49,0,7
10,False,NY10,1,True,False,8,0,1
10,False,NY10,2,False,False,6,0,1
10,False,NY10,3,True,False,5,0,0
10,False,NY10,4,True,False,11,0,1
10,False,NY10,5,False,False,12,0,1
10,False,NY10,6,True,True,2,0,0
10,False,NY10,7,True,False,11,0,1
10,False,NY10,8,True,True,13,0,2
10,False,NY10,9,True,True,14,0,2
10,False,NY10,10,True,False,5,0,0
10,False,NY10,11,False,False,20,0,3
10,False,NY10,12,True,True,4,0,0
10,False,NY10,13,True,False,7,0,1
10,False,NY10,14,False,False,19,0,2
10,False,NY10,15,True,False,1,0,0
10,False,NY10,16,True,True,4,0,0
10,False,NY10,17,True,True,4,0,0
10,False,NY10,18,False,False,16,0,2
10,False,NY10,19,True,True,4,0,0
10,False,NY10,20,False,False,10,0,1
10,False,NY10,21,False,False,17,0,2
10,False,NY10,22,False,False,21,0,3
10,False,NY10,23,True,False,6,0,1
10,False,NY10,24,True,False,11,0,1
10,False,NY10,25,True,True,11,0,1
10,False,NY10,26,True,False,9,0,1
10,False,NY10,27,False,False,11,0,1
10,False,NY10,28,False,False,16,0,2
10,False,NY10,29,False,False,9,0,1
10,False,NY10,30,True,False,2,0,0
10,False,NY10,31,True,False,11,0,1
10,False,NY10,34,False,False,4,0,0
10,False,NY10,35,True,True,4,0,0
10,False,NY10,36,True,True,15,0,2
10,False,NY10,37,True,False,8,0,1
10,False,NY10,38,False,False,14,0,2
10,False,NY10,39,False,False,6,0,1
10,False,NY10,40,True,False,10,0,1
10,False,NY10,41,True,True,4,0,0
10,False,NY10,42,True,True,15,0,2
10,False,NY10,43,False,False,9,0,1
10,False,NY10,45,True,True,4,0,0
10,False,NY10,46,True,False,2,0,0
10,False,NY10,47,True,False,4,0,0
10,False,NY10,48,True,False,3,0,0
10,False,NY10,49,True,False,9,0,1
10,False,NY10,50,False,False,7,0,1
10,False,None,1,False,False,16,0,2
10,False,None,2,False,False,11,0,1
10,False,None,3,False,False,21,0,3
10,False,None,4,False,False,23,0,3
10,False,None,5,False,False,15,0,2
10,False,None,6,False,False,4,0,0
10,False,None,7,False,False,7,0,1
10,False,None,8,False,False,22,0,3
10,False,None,9,False,False,14,0,2
10,False,None,10,False,False,2,0,0
10,False,None,11,False,False,13,0,2
10,False,None,12,False,False,4,0,0
10,False,None,13,False,False,10,0,1
10,False,None,14,False,False,4,0,0
10,False,None,15,False,False,5,0,0
10,False,None,16,False,False,3,0,0
10,False,None,17,False,False,22,0,3
10,False,None,18,False,False,2,0,0
10,False,None,19,False,False,18,0,2
