temperature,cycle,genotype,infected,disseminated,lifespan
10,FALSE,none,FALSE,FALSE,16
10,FALSE,none,FALSE,FALSE,11
10,FALSE,none,FALSE,FALSE,21
10,FALSE,none,FALSE,FALSE,23
10,FALSE,none,FALSE,FALSE,15
10,FALSE,none,FALSE,FALSE,4
10,FALSE,none,FALSE,FALSE,7
10,FALSE,none,FALSE,FALSE,22
10,FALSE,none,FALSE,FALSE,14
10,FALSE,none,FALSE,FALSE,2
10,FALSE,none,FALSE,FALSE,13
10,FALSE,none,FALSE,FALSE,4
10,FALSE,none,FALSE,FALSE,10
10,FALSE,none,FALSE,FALSE,4
10,FALSE,none,FALSE,FALSE,5
10,FALSE,none,FALSE,FALSE,3
10,FALSE,none,FALSE,FALSE,22
10,FALSE,none,FALSE,FALSE,2
10,FALSE,none,FALSE,FALSE,18
10,FALSE,none,FALSE,FALSE,21
10,FALSE,none,FALSE,FALSE,2
10,FALSE,none,FALSE,FALSE,13
10,FALSE,none,FALSE,FALSE,14
10,FALSE,none,FALSE,FALSE,9
10,FALSE,none,FALSE,FALSE,11
10,FALSE,none,FALSE,FALSE,11
10,FALSE,none,FALSE,FALSE,18
10,FALSE,none,FALSE,FALSE,1
10,FALSE,none,FALSE,FALSE,17
10,FALSE,none,FALSE,FALSE,20
10,FALSE,WN02,FALSE,FALSE,23
10,FALSE,WN02,FALSE,FALSE,19
10,FALSE,WN02,FALSE,FALSE,12
10,FALSE,WN02,FALSE,FALSE,19
10,FALSE,WN02,FALSE,FALSE,12
10,FALSE,WN02,FALSE,FALSE,19
10,FALSE,WN02,FALSE,FALSE,20
10,FALSE,WN02,FALSE,FALSE,18
10,FALSE,WN02,FALSE,FALSE,14
10,FALSE,WN02,FALSE,FALSE,11
10,FALSE,WN02,FALSE,FALSE,17
10,FALSE,WN02,FALSE,FALSE,13
10,FALSE,WN02,FALSE,FALSE,20
10,FALSE,WN02,FALSE,FALSE,14
10,FALSE,WN02,FALSE,FALSE,25
10,FALSE,WN02,FALSE,FALSE,22
10,FALSE,WN02,FALSE,FALSE,25
10,FALSE,WN02,FALSE,FALSE,23
10,FALSE,WN02,FALSE,FALSE,17
10,FALSE,WN02,FALSE,FALSE,11
10,FALSE,WN02,FALSE,FALSE,33
10,FALSE,WN02,FALSE,FALSE,22
10,FALSE,WN02,FALSE,FALSE,16
10,FALSE,WN02,FALSE,FALSE,11
10,FALSE,WN02,FALSE,FALSE,16
10,FALSE,WN02,FALSE,FALSE,33
10,FALSE,WN02,FALSE,FALSE,20
10,FALSE,WN02,FALSE,FALSE,16
10,FALSE,WN02,FALSE,FALSE,16
10,FALSE,WN02,FALSE,FALSE,21
10,FALSE,WN02,FALSE,FALSE,10
10,FALSE,WN02,FALSE,FALSE,49
10,FALSE,WN02,TRUE,FALSE,16
10,FALSE,WN02,TRUE,FALSE,5
10,FALSE,WN02,TRUE,FALSE,21
10,FALSE,WN02,TRUE,FALSE,7
10,FALSE,WN02,TRUE,FALSE,2
10,FALSE,WN02,TRUE,FALSE,2
10,FALSE,WN02,TRUE,TRUE,13
10,FALSE,WN02,TRUE,TRUE,42
10,FALSE,WN02,TRUE,TRUE,17
10,FALSE,WN02,TRUE,TRUE,15
10,FALSE,WN02,TRUE,TRUE,15
10,FALSE,WN02,TRUE,TRUE,18
10,FALSE,WN02,TRUE,TRUE,4
10,FALSE,WN02,TRUE,TRUE,16
10,FALSE,WN02,TRUE,TRUE,11
10,FALSE,WN02,TRUE,TRUE,13
10,FALSE,WN02,TRUE,TRUE,23
10,FALSE,WN02,TRUE,TRUE,4
10,FALSE,NY10,FALSE,FALSE,6
10,FALSE,NY10,FALSE,FALSE,12
10,FALSE,NY10,FALSE,FALSE,20
10,FALSE,NY10,FALSE,FALSE,19
10,FALSE,NY10,FALSE,FALSE,16
10,FALSE,NY10,FALSE,FALSE,10
10,FALSE,NY10,FALSE,FALSE,17
10,FALSE,NY10,FALSE,FALSE,21
10,FALSE,NY10,FALSE,FALSE,11
10,FALSE,NY10,FALSE,FALSE,16
10,FALSE,NY10,FALSE,FALSE,9
10,FALSE,NY10,FALSE,FALSE,4
10,FALSE,NY10,FALSE,FALSE,14
10,FALSE,NY10,FALSE,FALSE,6
10,FALSE,NY10,FALSE,FALSE,9
10,FALSE,NY10,FALSE,FALSE,7
10,FALSE,NY10,TRUE,FALSE,8
10,FALSE,NY10,TRUE,FALSE,5
10,FALSE,NY10,TRUE,FALSE,11
10,FALSE,NY10,TRUE,FALSE,11
10,FALSE,NY10,TRUE,FALSE,5
10,FALSE,NY10,TRUE,FALSE,7
10,FALSE,NY10,TRUE,FALSE,1
10,FALSE,NY10,TRUE,FALSE,6
10,FALSE,NY10,TRUE,FALSE,11
10,FALSE,NY10,TRUE,FALSE,9
10,FALSE,NY10,TRUE,FALSE,2
10,FALSE,NY10,TRUE,FALSE,11
10,FALSE,NY10,TRUE,FALSE,8
10,FALSE,NY10,TRUE,FALSE,10
10,FALSE,NY10,TRUE,FALSE,2
10,FALSE,NY10,TRUE,FALSE,4
10,FALSE,NY10,TRUE,FALSE,3
10,FALSE,NY10,TRUE,FALSE,9
10,FALSE,NY10,TRUE,TRUE,2
10,FALSE,NY10,TRUE,TRUE,13
10,FALSE,NY10,TRUE,TRUE,14
10,FALSE,NY10,TRUE,TRUE,4
10,FALSE,NY10,TRUE,TRUE,4
10,FALSE,NY10,TRUE,TRUE,4
10,FALSE,NY10,TRUE,TRUE,4
10,FALSE,NY10,TRUE,TRUE,11
10,FALSE,NY10,TRUE,TRUE,4
10,FALSE,NY10,TRUE,TRUE,15
10,FALSE,NY10,TRUE,TRUE,4
10,FALSE,NY10,TRUE,TRUE,15
10,FALSE,NY10,TRUE,TRUE,4
15,FALSE,none,FALSE,FALSE,7
