temperature,genotype,n.infected,p.infected,n.disseminated,p.disseminated,total,cycle,n.uninfected
10,WN02,18,0.36,12,0.24,50,FALSE,32
15,WN02,6,0.130434783,3,0.065217391,46,FALSE,40
20,WN02,37,0.755102041,25,0.510204082,49,FALSE,12
25,WN02,36,0.734693878,29,0.591836735,49,FALSE,13
25,WN02,42,0.893617021,37,0.787234043,47,TRUE,5
30,WN02,36,0.765957447,23,0.489361702,47,FALSE,11
33,WN02,33,0.6875,20,0.416666667,48,FALSE,15
10,NY10,31,0.659574468,13,0.276595745,47,FALSE,16
15,NY10,13,0.265306122,3,0.06122449,49,FALSE,36
20,NY10,37,0.755102041,21,0.428571429,49,FALSE,12
25,NY10,39,0.847826087,29,0.630434783,46,FALSE,7
25,NY10,34,0.708333333,23,0.479166667,48,TRUE,14
30,NY10,45,0.9,39,0.78,50,FALSE,5
33,NY10,42,0.913043478,37,0.804347826,46,FALSE,4
